img_number,spike position,spike time
0,(12 12)to(14 14),6
1,(12 12)to(14 14),-
2,(12 12)to(14 14),-
3,(12 12)to(14 14),-
4,(12 12)to(14 14),-
5,(12 12)to(14 14),6
6,(12 12)to(14 14),-
7,(12 12)to(14 14),-
8,(12 12)to(14 14),-
9,(12 12)to(14 14),-
10,(12 12)to(14 14),-
11,(12 12)to(14 14),-
12,(12 12)to(14 14),-
13,(12 12)to(14 14),-
14,(12 12)to(14 14),-
15,(12 12)to(14 14),-
16,(12 12)to(14 14),-
17,(12 12)to(14 14),-
18,(12 12)to(14 14),-
19,(12 12)to(14 14),-
20,(12 12)to(14 14),6
21,(12 12)to(14 14),-
22,(12 12)to(14 14),-
23,(12 12)to(14 14),-
24,(12 12)to(14 14),-
25,(12 12)to(14 14),-
26,(12 12)to(14 14),-
27,(12 12)to(14 14),-
28,(12 12)to(14 14),-
29,(12 12)to(14 14),-
30,(12 12)to(14 14),6
31,(12 12)to(14 14),-
32,(12 12)to(14 14),5
33,(12 12)to(14 14),-
34,(12 12)to(14 14),-
35,(12 12)to(14 14),6
36,(12 12)to(14 14),6
37,(12 12)to(14 14),5
38,(12 12)to(14 14),-
39,(12 12)to(14 14),-
40,(12 12)to(14 14),-
41,(12 12)to(14 14),-
42,(12 12)to(14 14),-
43,(12 12)to(14 14),-
44,(12 12)to(14 14),-
45,(12 12)to(14 14),-
46,(12 12)to(14 14),-
47,(12 12)to(14 14),-
48,(12 12)to(14 14),-
49,(12 12)to(14 14),-
50,(12 12)to(14 14),5
51,(12 12)to(14 14),-
52,(12 12)to(14 14),-
53,(12 12)to(14 14),-
54,(12 12)to(14 14),-
55,(12 12)to(14 14),-
56,(12 12)to(14 14),-
57,(12 12)to(14 14),-
58,(12 12)to(14 14),-
59,(12 12)to(14 14),-
60,(12 12)to(14 14),-
61,(12 12)to(14 14),-
62,(12 12)to(14 14),-
63,(12 12)to(14 14),-
64,(12 12)to(14 14),-
65,(12 12)to(14 14),-
66,(12 12)to(14 14),-
67,(12 12)to(14 14),-
68,(12 12)to(14 14),5
69,(12 12)to(14 14),-
70,(12 12)to(14 14),-
71,(12 12)to(14 14),-
72,(12 12)to(14 14),-
73,(12 12)to(14 14),-
74,(12 12)to(14 14),-
75,(12 12)to(14 14),4
76,(12 12)to(14 14),-
77,(12 12)to(14 14),5
78,(12 12)to(14 14),-
79,(12 12)to(14 14),-
80,(12 12)to(14 14),-
81,(12 12)to(14 14),-
82,(12 12)to(14 14),-
83,(12 12)to(14 14),-
